nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Kubis Hijau,"1 mangkok, dicincang",21,"0,11g","4,97g","1,28g",16mg,0mg
Petai,100 gram (g),91,"0,37g","16,62g","6,58g",7mg,0mg
Kacang Hijau Dimasak (Kalengan),1 mangkok,150,"4,31g","21,51g","7,54g",460mg,0mg
Seledri Dimasak,"1 mangkok, potong dadu",60,"3,94g","6,09g","1,26g",476mg,0mg
Daun Bawang (Loncang),"1 mangkok, dicincang",32,"0,19g","7,34g","1,83g",16mg,0mg
Rebung Dimasak (Lemak Ditambahkan dalam Masakan),1 mangkok,98,"5,55g","10,55g","5,23g",543mg,0mg
"Sayuran Campur (Kering Padatan, Kaleng)",1 mangkok,80,"0,41g","15,09g","4,22g",243mg,0mg
Jagung,1 gelas,132,"1,82g","29,29g","4,96g",23mg,0mg
Cap Cay Kuah,1 porsi,250,15g,11g,10g,,
Mentimun (dengan Kulit),1 ketimun (21 cm),45,"0,33g","10,93g","1,96g",6mg,0mg
Salad Selada dengan Berbagai Macam Sayuran (Termasuk Tomat dan / atau Wortel),1 mangkok,12,"0,12g","2,77g","0,63g",14mg,0mg
Jamur,100 gram (g),22,"0,34g","3,28g","3,09g",5mg,0mg
Jamur Tiram,100 gram (g),35,"0,44g","6,43g","3,34g",18mg,0mg
Talas,100 gram (g),112,"0,2g","26,46g","1,5g",11mg,0mg
Jagung Rebus,1 potong,59,"0,47g","14,07g","1,96g",3mg,0mg
"Bayam Dimasak (dari Beku, Lemak tidak Ditambahkan dalam Masakan)","1 mangkok, beku, helai",61,"0,95g","9,75g","7,58g",553mg,0mg
Akar Teratai,100 gram (g),74,"0,1g","17,23g","2,6g",556mg,0mg
Selada Arugula,1 mangkok,5,"0,13g","0,73g","0,52g",5mg,0mg
Kubis Merah,"1 mangkok, dicincang",28,"0,14g","6,56g","1,27g",24mg,0mg
Kentang Putih (Daging dan Kulit),"1 besar (diameter 7,5 cm - 10,5 cm)",258,"0,37g","57,97g","6,2g",22mg,0mg
Gudeg,100 gram (g),127,"4,71g","22,54g","1,82g",147mg,0mg
Wortel Bayi,1 sedang,4,"0,01g","0,82g","0,06g",8mg,0mg
Sayuran Campur (Beku),1 paket (285 g),182,"1,48g","38,23g","9,46g",602mg,0mg
Jahe,1 sdt,2,"0,02g","0,36g","0,04g",0mg,0mg
Kale,100 gram (g),50,"0,7g","10,01g","3,3g",447mg,0mg
Terung,100 gram (g),24,"0,19g","5,7g","1,01g",2mg,0mg
Bayam Bayi/Kecil,1 mangkok,7,"0,12g","1,09g","0,86g",24mg,0mg
"Sayuran Campur  (Padat dan Cair, Kaleng)",1 mangkok,88,"0,61g","17,44g","3,48g",338mg,0mg
